"key","value"
"lev_e0_p","0.271"
"lev_e0_p_txt","= 0.271"
"lev_e0_pct","0.4"
"lev_e0_pp","0.4"
"lev_e0_se","0.003"
"lev_e1","0.009"
"lev_e1_hi","0.018"
"lev_e1_lo","−0.001"
"lev_e1_p","0.077"
"lev_e1_p_txt","= 0.077"
"lev_e1_pct","0.9"
"lev_e1_pp","0.9"
"lev_e1_se","0.005"
"lev_e2","0.009"
"lev_e2_hi","0.023"
"lev_e2_lo","−0.004"
"lev_e2_p","0.167"
"lev_e2_p_txt","= 0.167"
"lev_e2_pct","0.9"
"lev_e2_pp","0.9"
"lev_e2_se","0.007"
"lev_e3","0.017"
"lev_e3_hi","0.035"
"lev_e3_lo","−0.001"
"lev_e3_p","0.068"
"lev_e3_p_txt","= 0.068"
"lev_e3_pct","1.7"
"lev_e3_pp","1.7"
"lev_e3_se","0.009"
"lev_e4","0.032"
"lev_e4_hi","0.061"
"lev_e4_lo","0.005"
"lev_e4_p","0.026"
"lev_e4_p_txt","= 0.026"
"lev_e4_pct","3.2"
"lev_e4_pp","3.2"
"lev_e4_se","0.014"
"lev_em2","0.012"
"lev_em2_hi","0.019"
"lev_em2_lo","0.006"
"lev_em2_p","<0.001"
"lev_em2_p_txt","< 0.001"
"lev_em2_pct","1.2"
"lev_em2_pp","1.2"
"lev_em2_se","0.003"
"lev_em3","0.017"
"lev_em3_hi","0.027"
"lev_em3_lo","0.006"
"lev_em3_p","0.003"
"lev_em3_p_txt","= 0.003"
"lev_em3_pct","1.7"
"lev_em3_pp","1.7"
"lev_em3_se","0.006"
"lev_em4","0.016"
"lev_em4_hi","0.029"
"lev_em4_lo","0.003"
"lev_em4_p","0.018"
"lev_em4_p_txt","= 0.018"
"lev_em4_pct","1.6"
"lev_em4_pp","1.6"
"lev_em4_se","0.007"
"lev_em5","0.024"
"lev_em5_hi","0.039"
"lev_em5_lo","0.009"
"lev_em5_p","0.002"
"lev_em5_p_txt","= 0.002"
"lev_em5_pct","2.5"
"lev_em5_pp","2.4"
"lev_em5_se","0.008"
"lev_hi","0.018"
"lev_hi_pct","1.8"
"lev_high","0.009"
"lev_high_mde","0.017"
"lev_high_n","320"
"lev_high_p","0.121"
"lev_high_p_txt","= 0.121"
"lev_high_se","0.006"
"lev_lo","−0.001"
"lev_lo_pct","−0.1"
"lev_lomo_ID","0.011"
"lev_lomo_ID_p","0.038"
"lev_lomo_ID_p_txt","= 0.038"
"lev_lomo_MY","0.022"
"lev_lomo_MY_p","0.006"
"lev_lomo_MY_p_txt","= 0.006"
"lev_lomo_PH","0.009"
"lev_lomo_PH_p","0.075"
"lev_lomo_PH_p_txt","= 0.075"
"lev_lomo_SG","0.005"
"lev_lomo_SG_p","0.360"
"lev_lomo_SG_p_txt","= 0.360"
"lev_lomo_TH","0.004"
"lev_lomo_TH_p","0.437"
"lev_lomo_TH_p_txt","= 0.437"
"lev_low","0.007"
