"outcome","g","t","e","att","n_treated","n_control"
"ln_mcap","2018","2020","2","0.3379275078","8","1773"
"ln_mcap","2018","2021","3","0.2024668816","8","1773"
"ln_mcap","2018","2022","4","0.2417889137","8","1773"
"ln_mcap","2019","2014","-5","-0.6509533317","24","1580"
"ln_mcap","2019","2015","-4","-0.5738590007","26","1640"
"ln_mcap","2019","2016","-3","-0.3614279271","29","1691"
"ln_mcap","2019","2017","-2","-0.07715846868","29","1780"
"ln_mcap","2019","2019","0","0.1140848567","29","1862"
"ln_mcap","2019","2020","1","0.2205741138","29","1862"
"ln_mcap","2019","2021","2","0.07132831894","29","1862"
"ln_mcap","2019","2022","3","0.1757582919","29","1862"
"ln_mcap","2019","2023","4","0.2477325445","29","1862"
"ln_mcap","2020","2015","-5","-0.4282796376","70","1633"
"ln_mcap","2020","2016","-4","-0.3747668547","73","1684"
"ln_mcap","2020","2017","-3","-0.2062564468","79","1774"
"ln_mcap","2020","2018","-2","-0.1264210777","81","1857"
"ln_mcap","2020","2020","0","0.02126163452","85","1961"
"ln_mcap","2020","2021","1","-0.02916376299","85","1961"
"ln_mcap","2020","2022","2","-0.007405447694","85","1961"
"ln_mcap","2020","2023","3","0.01585508322","85","1961"
"ln_mcap","2020","2024","4","0.01444445735","85","1961"
"ln_mcap","2021","2016","-5","-0.3065056487","121","1689"
"ln_mcap","2021","2017","-4","-0.1166042173","125","1780"
"ln_mcap","2021","2018","-3","-0.1089941117","127","1864"
"ln_mcap","2021","2019","-2","-0.05594103427","129","1969"
"ln_mcap","2021","2021","0","0.007085337335","131","2036"
"ln_mcap","2021","2022","1","-0.1723963855","131","2036"
"ln_mcap","2021","2023","2","-0.2240273533","131","2036"
"ln_mcap","2021","2024","3","-0.1987820246","131","2036"
"ln_mcap","2022","2017","-5","0.04290588905","205","1781"
"ln_mcap","2022","2018","-4","-0.06447959109","212","1867"
"ln_mcap","2022","2019","-3","-0.02266697219","216","1973"
"ln_mcap","2022","2020","-2","-0.04426798164","222","2043"
"ln_mcap","2022","2022","0","-0.09867485705","226","2146"
"ln_mcap","2022","2023","1","-0.09915429256","226","2146"
"ln_mcap","2022","2024","2","-0.06921004026","226","2146"
"ln_mcap","2023","2018","-5","0.04804594274","81","1866"
"ln_mcap","2023","2019","-4","0.08760758532","84","1970"
"ln_mcap","2023","2020","-3","0.2182196416","89","2039"
"ln_mcap","2023","2021","-2","0.1098052931","94","2144"
"ln_mcap","2023","2023","0","-0.08525688371","104","2269"
"ln_mcap","2023","2024","1","-0.08526488513","104","2269"
"ln_mcap","2024","2019","-5","0.1100731678","16","1963"
"ln_mcap","2024","2020","-4","0.1158265925","17","2032"
"ln_mcap","2024","2021","-3","-0.006384392682","18","2138"
"ln_mcap","2024","2022","-2","0.1333571015","19","2263"
"ln_mcap","2024","2024","0","0.02518330998","30","2390"
"leverage","2015","2015","0","0.02444868026","8","1413"
"leverage","2015","2016","1","0.03093917168","8","1393"
"leverage","2015","2017","2","0.02476568282","8","1363"
"leverage","2015","2018","3","0.02311720771","7","1359"
"leverage","2015","2019","4","0.02055355023","7","1368"
"leverage","2016","2014","-2","-0.007593630634","8","1413"
"leverage","2016","2016","0","0.02510242948","8","1514"
"leverage","2016","2017","1","0.02616916574","9","1472"
