"outcome","term","est","se","ci_lo","ci_hi","p","mde80","n_treated_firms","n_control_firms","p_holm"
"ln_mtb","post","0.001923064383","0.02409172849","-0.04596813052","0.04757572048","0.9363783503","0.06745683978","628","2412","0.9363783503"
"ln_mcap","post","-0.05488726931","0.02996006605","-0.1086608961","0.003068824846","0.06694929073","0.08388818493","635","2447","0.1338985815"
"leverage","post","0.008481359828","0.004920830451","-0.0008802607131","0.01804309928","0.08478681667","0.01377832526","631","2520","0.1338985815"
"ln_asset","post","0.04352666218","0.0183447736","0.007388428165","0.08141854116","0.01765855349","0.05136536607","655","2603","0.05297566046"
