"Specification","ln(MTB)","ln(market capitalization)","Book leverage","ln(total assets)"
"Excluding Indonesia","0.017 (0.024)","−0.030 (0.030)","0.011** (0.005)","0.037* (0.020)"
"Excluding Malaysia","−0.003 (0.035)","0.037 (0.038)","0.022*** (0.008)","0.046 (0.029)"
"Excluding Philippines","−0.001 (0.025)","−0.066** (0.031)","0.009* (0.005)","0.031* (0.019)"
"Excluding Singapore","−0.007 (0.025)","−0.066** (0.032)","0.005 (0.005)","0.063*** (0.019)"
"Excluding Thailand","0.004 (0.029)","−0.096** (0.037)","0.004 (0.005)","0.040* (0.021)"
