firm_id,year,country,company,industry_code,ESG_Score,ESGC_Score,board_size,board_ind,female_board,sus_comp,pe_comp,marketcap,roa,debt,asset,mtb,gri,co,greenwashing,female_critical_mass,log_co2,leverage,firm_size,roa_raw,leverage_raw,mtb_raw
1,2023,MY,Focus Point Holdings Bhd,health_care,38.0124896345643,100.0,6.0,50.0,66.6666666666667,0.0,0.0,71463903.9455338,0.11099,22819172.1132898,61703050.1089325,2.77984829625675,1.0,1907.0,-61.9875103654357,1.0,7.553286605600419,0.3698224329754221,17.93784392215835,0.11099,0.3698224329754221,2.77984829625675
1,2024,MY,Focus Point Holdings Bhd,health_care,38.8637970360464,100.0,7.0,42.8571428571429,57.1428571428571,0.0,0.0,83238412.7137422,0.1174,28176589.0778872,66083482.5425246,2.75451590162052,1.0,2079.0,-61.1362029639536,1.0,7.639642287858013,0.4263786954592718,18.00642938770302,0.1174,0.4263786954592718,2.75451590162052
2,2022,TH,Gunkul Engineering PCL,utilities,73.6227588602467,100.0,16.0,62.5,25.0,0.0,0.0,1347393458.92806,0.0805,437505809.332563,934165318.376192,3.31272893385191,1.0,2055.0,-26.37724113975329,0.0,7.628031126930335,0.4683387412551936,20.65516398093317,0.0805,0.4683387412551936,3.31272893385191
2,2023,TH,Gunkul Engineering PCL,utilities,71.0862453739715,100.0,15.0,62.5,26.6666666666667,0.0,0.0,725951159.579685,0.0718,456674601.688501,956341653.0131,1.77135025480223,1.0,2531.0,-28.91375462602851,0.0,7.836369760545124,0.4775224421624616,20.67862578480027,0.0718,0.4775224421624616,1.77135025480223
2,2024,TH,Gunkul Engineering PCL,utilities,65.7601718136078,100.0,16.0,62.5,31.25,0.0,0.0,592862137.608899,0.0507,473264692.615295,954589088.528897,1.41808041844268,1.0,4581.0,-34.2398281863922,1.0,8.429672593886743,0.4957784436281752,20.67679153205894,0.0507,0.4957784436281752,1.41808041844268
5,2016,MY,Malaysia Marine and Heavy Engineering Holdings Bhd,energy,47.7260689546584,100.0,10.0,36.3636363636364,10.0,0.0,0.0,326457799.08574,0.0153,4459805.99843907,803327238.265136,0.57737426433093,1.0,50441.0,-52.2739310453416,0.0,10.82855961541762,0.005551667845933444,20.50427270853026,0.0153,0.005551667845933444,0.57737426433093
5,2018,MY,Malaysia Marine and Heavy Engineering Holdings Bhd,energy,53.0721968893288,100.0,10.0,36.3636363636364,30.0,0.0,0.0,211138014.527845,-0.03732,11707990.31477,770264648.910412,0.362266007109886,1.0,50850.0,-46.9278031106712,1.0,10.83663540147671,0.01519995800317682,20.46224471364438,-0.03732,0.01519995800317682,0.362266007109886
5,2019,MY,Malaysia Marine and Heavy Engineering Holdings Bhd,energy,50.5282790267049,100.0,10.0,40.0,30.0,0.0,0.0,340425531.914894,-0.0107,46337979.9461971,786983859.134263,0.58678024573952,1.0,32989.0,-49.4717209732951,1.0,10.40392945154738,0.05888047055650176,20.4837182968121,-0.0107,0.05888047055650176,0.58678024573952
5,2020,MY,Malaysia Marine and Heavy Engineering Holdings Bhd,energy,47.5225490096723,100.0,11.0,41.6666666666667,18.1818181818182,0.0,0.0,179104477.61194,-0.0304,63962189.0547264,782674378.109453,0.367156804002009,1.0,47510.0,-52.4774509903277,0.0,10.76869549418097,0.08172260501132901,20.47822730297601,-0.0304,0.08172260501132901,0.367156804002009
5,2021,MY,Malaysia Marine and Heavy Engineering Holdings Bhd,energy,55.7581869642647,100.0,9.0,53.8461538461538,11.1111111111111,0.0,0.0,151777137.367915,-0.08,88991354.4668588,814137127.761768,0.370358867194116,1.0,45703.0,-44.2418130357353,0.0,10.72991922024195,0.1093075741570889,20.51763937140254,-0.08,0.1093075741570889,0.370358867194116
